,name,sex,count,syllables,consonants,ratio
31023,Shastity,F,7,3,6,2
31024,Shataka,F,5,3,4,1.333333333
31025,Shataya,F,195,2,4,2
31026,Shatonga,F,21,3,5,1.666666667
31027,Shatora,F,119,3,4,1.333333333
31028,Shatoria,F,510,3,4,1.333333333
31029,Shaunetta,F,25,3,5,1.666666667
31030,Shauni,F,265,2,3,1.5
31031,Shaunika,F,54,3,4,1.333333333
31032,Shauntal,F,15,2,5,2.5
31033,Shavan,F,5,2,4,2
31034,Shavawn,F,55,2,5,2.5
31035,Shawndrika,F,22,3,7,2.333333333
31036,Shawnequa,F,24,3,5,1.666666667
31037,Shawniece,F,175,3,5,1.666666667
31038,Shaylon,F,166,2,5,2.5
31039,Sheala,F,278,2,3,1.5
31040,Shealynn,F,762,2,6,3
31041,Shekeitha,F,10,3,5,1.666666667
31042,Shekitha,F,5,3,5,1.666666667
31043,Shemaiah,F,258,2,4,2
31044,Sheneika,F,78,3,4,1.333333333
31045,Shenekia,F,60,3,4,1.333333333
31046,Sheneque,F,16,3,4,1.333333333
31047,Shenitra,F,25,3,5,1.666666667
31048,Shephanie,F,64,3,5,1.666666667
31049,Sherona,F,22,3,4,1.333333333
31050,Shimeeka,F,5,3,4,1.333333333
31051,Shinee,F,5,2,3,1.5
31052,Shiraz,F,57,2,4,2
31053,Shirlina,F,5,3,5,1.666666667
31054,Shola,F,27,2,3,1.5
31055,Shonnita,F,5,3,5,1.666666667
31056,Shontisha,F,5,3,6,2
31057,Shoshawna,F,18,3,6,2
31058,Shunell,F,5,2,5,2.5
31059,Shurie,F,5,2,3,1.5
31060,Shuvonne,F,5,3,5,1.666666667
31061,Shuwanna,F,5,3,5,1.666666667
31062,Siboney,F,80,3,4,1.333333333
31063,Siddeegah,F,6,3,5,1.666666667
31064,Sintia,F,450,2,3,1.5
31065,Siohban,F,5,2,4,2
31066,So,F,47,1,1,1
31067,Someeka,F,7,3,3,1
31068,Sonika,F,143,3,3,1
31069,Sonoma,F,201,3,3,1
31070,Souad,F,27,1,2,2
31071,Starlight,F,22,2,7,3.5
31072,Stcy,F,5,1,4,4
31073,Stefane,F,32,3,4,1.333333333
31074,Sujin,F,32,2,3,1.5
31075,Sulai,F,5,2,2,1
31076,Sulay,F,65,2,3,1.5
31077,Suliana,F,34,3,3,1
31078,Sushma,F,5,2,4,2
31079,Swapna,F,24,2,4,2
31080,Sweet,F,65,1,3,3
31081,Sweta,F,217,2,3,1.5
31082,Swiyyah,F,12,1,5,5
31083,Symphony,F,2160,3,7,2.333333333
31084,Synithia,F,5,3,5,1.666666667
31085,Taana,F,16,2,2,1
31086,Tabethia,F,28,3,4,1.333333333
31087,Tachic,F,5,2,4,2
31088,Taiwanda,F,6,3,4,1.333333333
31089,Takeasha,F,5,3,4,1.333333333
31090,Takeita,F,11,3,3,1
31091,Takeyia,F,35,2,3,1.5
31092,Takeyshia,F,6,3,5,1.666666667
31093,Takoya,F,105,2,3,1.5
31094,Talethia,F,18,3,4,1.333333333
31095,Tamarisk,F,14,3,5,1.666666667
31096,Tamikah,F,20,3,4,1.333333333
31097,Tamille,F,15,3,4,1.333333333
31098,Tanaia,F,80,2,2,1
31099,Tante,F,11,2,3,1.5
31100,Tantra,F,5,2,4,2
31101,Taqueena,F,6,3,3,1
31102,Taronica,F,6,4,4,1
31103,Tashie,F,16,2,3,1.5
31104,Tashieka,F,35,3,4,1.333333333
31105,Tassa,F,6,2,3,1.5
31106,Tayesha,F,5,2,4,2
31107,Teagan,F,21126,2,3,1.5
31108,Teandra,F,309,2,4,2
31109,Tehesha,F,5,3,4,1.333333333
31110,Teneia,F,5,2,2,1
31111,Tenicha,F,5,3,4,1.333333333
31112,Teniel,F,5,2,3,1.5
31113,Terin,F,343,2,3,1.5
31114,Tesheka,F,11,3,4,1.333333333
31115,Thamar,F,85,2,4,2
31116,Thuan,F,5,1,3,3
31117,Thy,F,366,1,3,3
31118,Tiaira,F,461,2,2,1
31119,Tiawna,F,22,2,3,1.5
31120,Tieka,F,18,2,2,1
31121,Tifiny,F,11,3,4,1.333333333
31122,Timera,F,211,3,3,1
31123,Timicka,F,7,3,4,1.333333333
31124,Tisheka,F,5,3,4,1.333333333
31125,Tiyanna,F,786,2,4,2
31126,Tiyonna,F,328,2,4,2
31127,Tolisha,F,12,3,4,1.333333333
31128,Tone,F,49,1,2,2
31129,Toneshia,F,91,3,4,1.333333333
31130,Tonesia,F,12,3,3,1
31131,Tonta,F,8,2,3,1.5
31132,Toshina,F,21,3,4,1.333333333
31133,Tramika,F,36,3,4,1.333333333
31134,Tranae,F,191,2,3,1.5
31135,Traneka,F,5,3,4,1.333333333
31136,Tranika,F,75,3,4,1.333333333
31137,Tranita,F,22,3,4,1.333333333
31138,Trelana,F,6,3,4,1.333333333
31139,Trenesha,F,59,3,5,1.666666667
31140,Trianna,F,435,2,4,2
31141,Turkesa,F,19,3,4,1.333333333
31142,Tyasha,F,40,2,4,2
31143,Tyena,F,23,2,3,1.5
31144,Tyffanie,F,18,3,5,1.666666667
31145,Tymekia,F,7,3,4,1.333333333
31146,Tyrae,F,35,2,3,1.5
31147,Tyrita,F,10,3,4,1.333333333
31148,Tyronzia,F,5,3,5,1.666666667
31149,Tyshika,F,55,3,5,1.666666667
31150,Tywania,F,5,3,4,1.333333333
31151,Tywonda,F,5,3,5,1.666666667
31152,Unica,F,42,3,2,0.666666667
31153,Vang,F,11,1,3,3
31154,Vani,F,327,2,2,1
31155,Vegas,F,126,2,3,1.5
31156,Venassa,F,6,3,4,1.333333333
31157,Vitoria,F,347,3,3,1
31158,Vy,F,1135,1,2,2
31159,Waheedah,F,7,3,4,1.333333333
31160,Wakina,F,9,3,3,1
31161,Walkidia,F,5,3,4,1.333333333
31162,Whitnee,F,607,2,4,2
31163,Whittney,F,1633,2,6,3
31164,Willisha,F,95,3,5,1.666666667
31165,Wisteria,F,17,3,4,1.333333333
31166,Wydia,F,10,2,3,1.5
31167,Wykisha,F,18,3,5,1.666666667
31168,Wylee,F,86,2,3,1.5
31169,Yachica,F,6,3,4,1.333333333
31170,Yaira,F,498,2,2,1
31171,Yajaida,F,7,3,3,1
31172,Yajayra,F,304,3,4,1.333333333
31173,Yakia,F,29,2,2,1
31174,Yamilette,F,571,4,5,1.25
31175,Yanita,F,11,3,3,1
31176,Yashekia,F,10,3,4,1.333333333
31177,Yasminda,F,6,3,5,1.666666667
31178,Yasmira,F,6,3,4,1.333333333
31179,Yoana,F,1410,2,2,1
31180,Yuisa,F,11,2,2,1
31181,Yulisa,F,1892,3,3,1
31182,Yuridia,F,2498,3,3,1
31183,Yvelisse,F,45,4,5,1.25
31184,Zamira,F,897,3,3,1
31185,Zareen,F,201,2,3,1.5
31186,Zulay,F,402,2,3,1.5
31187,Aarion,F,140,2,2,1
31188,Abbegail,F,246,3,4,1.333333333
31189,Abha,F,57,2,2,1
31190,Abigael,F,1710,3,3,1
31191,Abriel,F,632,2,3,1.5
31192,Aby,F,220,2,2,1
31193,Achel,F,39,2,3,1.5
31194,Adea,F,115,2,1,0.5
31195,Adessa,F,377,3,3,1
31196,Adiel,F,107,2,2,1
31197,Adryan,F,176,2,4,2
31198,Aelisa,F,5,3,2,0.666666667
31199,Afsaneh,F,17,3,4,1.333333333
31200,Airen,F,135,2,2,1
31201,Ajai,F,177,2,1,0.5
31202,Akeila,F,182,3,2,0.666666667
31203,Akishia,F,6,3,3,1
31204,Alexias,F,154,3,3,1
31205,Alexys,F,4100,3,4,1.333333333
31206,Alyscia,F,172,3,4,1.333333333
31207,Alyssum,F,22,3,5,1.666666667
31208,Amandalynn,F,81,4,7,1.75
31209,Amande,F,19,3,3,1
31210,Amandia,F,43,3,3,1
31211,Amariah,F,2691,3,3,1
31212,Amarillis,F,10,4,5,1.25
31213,Amberdawn,F,23,3,6,2
31214,Amillia,F,570,3,3,1
31215,Ammanda,F,106,3,4,1.333333333
31216,Anamika,F,167,4,3,0.75
31217,Andonia,F,5,3,3,1
31218,Angellina,F,335,4,5,1.25
31219,Annaka,F,559,3,3,1
31220,Annalynn,F,1130,3,6,2
31221,Antonica,F,5,4,4,1
31222,Antonisha,F,268,4,5,1.25
31223,Antoria,F,196,3,3,1
31224,Aracel,F,5,3,3,1
31225,Arina,F,762,3,2,0.666666667
31226,Arnica,F,5,3,3,1
31227,Arpan,F,5,2,3,1.5
31228,Arteria,F,38,3,3,1
31229,Arzu,F,105,2,2,1
31230,Ashle,F,546,2,3,1.5
31231,Ashliegh,F,418,2,5,2.5
31232,Ashunta,F,10,3,4,1.333333333
31233,Ashunti,F,301,3,4,1.333333333
31234,Atiyah,F,210,2,3,1.5
31235,Audrianna,F,4419,3,4,1.333333333
31236,Aunna,F,396,2,2,1
31237,Avanti,F,315,3,3,1
31238,Azia,F,1313,2,1,0.5
31239,Basma,F,337,2,3,1.5
31240,Baylee,F,19440,2,3,1.5
31241,Beige,F,7,1,2,2
31242,Beonka,F,119,2,3,1.5
31243,Beranda,F,10,3,4,1.333333333
31244,Beren,F,45,2,3,1.5
31245,Billiejoe,F,6,3,4,1.333333333
31246,Bindi,F,195,2,3,1.5
31247,Binita,F,5,3,3,1
31248,Blayre,F,109,2,4,2
31249,Blia,F,119,1,2,2
31250,Blimie,F,305,2,3,1.5
31251,Bobbilee,F,5,3,4,1.333333333
31252,Bow,F,5,1,2,2
31253,Brandylee,F,27,3,6,2
31254,Brenn,F,64,1,4,4
31255,Breyon,F,95,1,4,4
31256,Brinn,F,535,1,4,4
31257,Briselda,F,135,3,5,1.666666667
31258,Britania,F,124,3,4,1.333333333
31259,Britanya,F,37,3,5,1.666666667
31260,Britiany,F,180,3,5,1.666666667
31261,Britne,F,282,2,4,2
31262,Britny,F,1892,2,5,2.5
31263,Brittanny,F,389,3,7,2.333333333
31264,Brittanya,F,128,3,6,2
31265,Brittiany,F,737,3,6,2
31266,Brittiny,F,597,3,6,2
31267,Brookelynn,F,3160,3,7,2.333333333
31268,Brookley,F,96,2,5,2.5
31269,Calder,F,32,2,4,2
31270,Cameran,F,982,3,4,1.333333333
31271,Canan,F,5,2,3,1.5
31272,Cardiss,F,5,2,5,2.5
31273,Carenda,F,9,3,4,1.333333333
31274,Carmeshia,F,33,3,5,1.666666667
31275,Carnesha,F,143,3,5,1.666666667
31276,Casidy,F,346,3,4,1.333333333
31277,Cate,F,1638,1,2,2
31278,Cathia,F,34,2,3,1.5
31279,Catrisha,F,6,3,5,1.666666667
31280,Caycie,F,39,2,3,1.5
31281,Caylee,F,8677,2,3,1.5
31282,Caysie,F,155,2,3,1.5
31283,Cedrina,F,26,3,4,1.333333333
31284,Chakeya,F,5,2,4,2
31285,Chalan,F,5,2,4,2
31286,Chamere,F,38,3,4,1.333333333
31287,Chanella,F,6,3,5,1.666666667
31288,Chanequa,F,56,3,4,1.333333333
31289,Charlisha,F,61,3,6,2
31290,Charlonda,F,6,3,6,2
31291,Charmica,F,6,3,5,1.666666667
31292,Cheisa,F,10,2,3,1.5
31293,Chelcie,F,763,2,4,2
31294,Chelynne,F,21,3,6,2
31295,Chenae,F,110,2,3,1.5
31296,Cheriese,F,14,3,4,1.333333333
31297,Chervonne,F,7,3,6,2
31298,Cheryllyn,F,6,3,8,2.666666667
31299,Cheyann,F,1654,1,5,5
31300,Chimera,F,46,3,4,1.333333333
31301,Chimira,F,11,3,4,1.333333333
31302,Chinara,F,71,3,4,1.333333333
31303,Chinelle,F,27,3,5,1.666666667
31304,Chinere,F,11,3,4,1.333333333
31305,Ching,F,30,1,4,4
31306,Chole,F,1717,2,3,1.5
31307,Choua,F,390,1,2,2
31308,Christanna,F,36,3,7,2.333333333
31309,Christieann,F,6,2,7,3.5
31310,Chrsitina,F,25,3,6,2
31311,Chrysoula,F,5,3,6,2
31312,Chrystin,F,45,2,7,3.5
31313,Chua,F,24,2,2,1
31314,Chue,F,5,1,2,2
31315,Chyann,F,917,1,5,5
31316,Cielita,F,31,3,3,1
31317,Clinique,F,41,2,4,2
31318,Comekia,F,6,3,3,1
31319,Cortnei,F,35,2,4,2
31320,Countney,F,27,2,5,2.5
31321,Courteny,F,63,3,5,1.666666667
31322,Courtnei,F,229,2,4,2
31323,Crystalann,F,150,3,8,2.666666667
31324,Crystallee,F,74,3,7,2.333333333
31325,Crystil,F,11,2,6,3
31326,Crystin,F,225,2,6,3
31327,Czarina,F,379,3,4,1.333333333
31328,Daci,F,66,2,2,1
31329,Dajon,F,70,2,3,1.5
31330,Dametrice,F,5,4,5,1.25
31331,Danitza,F,882,3,4,1.333333333
31332,Dao,F,88,1,1,1
31333,Darnika,F,32,3,4,1.333333333
31334,Davonia,F,16,3,3,1
31335,Dawnta,F,5,2,4,2
31336,Dayra,F,1068,2,3,1.5
31337,Dayshawn,F,5,2,6,3
31338,Deaunna,F,86,2,3,1.5
31339,Decola,F,11,3,3,1
31340,Deesha,F,22,2,3,1.5
31341,Delandra,F,20,3,5,1.666666667
31342,Denamarie,F,10,4,4,1
31343,Denaya,F,299,2,3,1.5
31344,Denekia,F,10,3,3,1
31345,Desera,F,63,3,3,1
31346,Desireah,F,7,3,4,1.333333333
31347,Desirey,F,284,3,4,1.333333333
31348,Destani,F,1148,3,4,1.333333333
31349,Devonte,F,32,3,4,1.333333333
31350,Devony,F,123,3,4,1.333333333
31351,Dezaree,F,166,3,3,1
31352,Deziray,F,471,3,4,1.333333333
31353,Diem,F,588,1,2,2
31354,Dilan,F,92,2,3,1.5
31355,Dipa,F,18,2,2,1
31356,Doneka,F,11,3,3,1
31357,Dontia,F,36,2,3,1.5
31358,Doua,F,28,1,1,1
31359,Ebonne,F,41,3,3,1
31360,Edica,F,5,3,2,0.666666667
31361,Edweina,F,5,3,3,1
31362,Eftihia,F,12,3,3,1
31363,Eliset,F,18,3,3,1
31364,Elizabethanne,F,86,6,7,1.166666667
31365,Elizet,F,77,3,3,1
31366,Emberly,F,2063,3,5,1.666666667
31367,Emmanuela,F,625,4,4,1
31368,Emmilee,F,152,3,3,1
31369,Emon,F,90,2,2,1
31370,Enas,F,146,2,2,1
31371,Enjolie,F,28,3,3,1
31372,Ernisha,F,62,3,4,1.333333333
31373,Estefania,F,6330,4,4,1
31374,Eunise,F,39,3,2,0.666666667
31375,Faheemah,F,12,3,4,1.333333333
31376,Falishia,F,13,3,4,1.333333333
31377,Farhana,F,247,3,4,1.333333333
31378,Fariba,F,12,3,3,1
31379,Farm,F,34,1,3,3
31380,Fatemah,F,162,3,4,1.333333333
31381,Fatin,F,59,2,3,1.5
31382,Fiana,F,73,2,2,1
31383,Flannery,F,522,3,6,2
31384,Gaia,F,1161,2,1,0.5
31385,Gao,F,375,1,1,1
31386,Genay,F,32,2,3,1.5
31387,Genina,F,13,3,3,1
31388,Ger,F,88,1,2,2
31389,Ghadah,F,7,2,4,2
31390,Gitana,F,15,3,3,1
31391,Gurpreet,F,172,2,5,2.5
31392,Haide,F,158,2,2,1
31393,Haifa,F,181,2,2,1
31394,Hanifa,F,152,3,3,1
31395,Hayat,F,502,1,3,3
31396,Herica,F,15,3,3,1
31397,Hermanda,F,6,3,5,1.666666667
31398,Hilaree,F,44,3,3,1
31399,Ia,F,144,2,0,0
31400,Ianna,F,938,2,2,1
31401,Ikeshia,F,49,3,3,1
31402,Ilea,F,242,2,1,0.5
31403,Ileah,F,280,2,2,1
31404,Ileia,F,11,2,1,0.5
31405,Illia,F,5,2,2,1
31406,Isavel,F,48,3,3,1
31407,Itasha,F,12,3,3,1
31408,Iveth,F,633,2,3,1.5
31409,Jachelle,F,120,3,5,1.666666667
31410,Jacina,F,16,3,3,1
31411,Jacqlynn,F,49,2,7,3.5
31412,Jacquis,F,10,2,4,2
31413,Jadda,F,99,2,3,1.5
31414,Jaemie,F,10,2,2,1
31415,Jahara,F,201,3,3,1
31416,Jalaina,F,161,3,3,1
31417,Jalan,F,70,2,3,1.5
31418,Jalie,F,292,2,2,1
31419,Jalisa,F,5970,3,3,1
31420,Jamai,F,27,2,2,1
31421,Jamere,F,22,3,3,1
31422,Jameshia,F,725,3,4,1.333333333
31423,Jamicia,F,91,3,3,1
31424,Jamicka,F,34,3,4,1.333333333
31425,Jamilya,F,185,3,4,1.333333333
31426,Jamyra,F,901,3,4,1.333333333
31427,Jandee,F,11,2,3,1.5
31428,Janei,F,120,2,2,1
31429,Janitza,F,296,3,4,1.333333333
31430,Japera,F,21,3,3,1
31431,Jaqualine,F,18,4,4,1
31432,Jaqueta,F,26,3,3,1
31433,Jaquin,F,5,2,3,1.5
31434,Jaquline,F,44,4,4,1
31435,Jariah,F,1065,2,3,1.5
31436,Jaselyn,F,386,3,5,1.666666667
31437,Jasminda,F,11,3,5,1.666666667
31438,Jasna,F,10,2,3,1.5
31439,Jatoya,F,141,2,3,1.5
31440,Javanna,F,136,3,4,1.333333333
31441,Jazmyn,F,8802,2,5,2.5
31442,Jazzmin,F,2243,2,5,2.5
31443,Jelisa,F,1083,3,3,1
31444,Jelissa,F,892,3,4,1.333333333
31445,Jemimah,F,381,3,4,1.333333333
31446,Jenah,F,471,2,3,1.5
31447,Jenilee,F,806,3,3,1
31448,Jennika,F,428,3,4,1.333333333
31449,Jerisha,F,60,3,4,1.333333333
31450,Jerrika,F,609,3,4,1.333333333
31451,Jesha,F,24,2,3,1.5
31452,Jezebel,F,697,3,4,1.333333333
31453,Jheri,F,148,2,3,1.5
31454,Jhovana,F,24,3,4,1.333333333
31455,Jochebed,F,102,3,5,1.666666667
31456,Jocilyn,F,383,3,5,1.666666667
31457,Jollene,F,22,3,4,1.333333333
31458,Jomeka,F,10,3,3,1
31459,Jonnae,F,272,2,3,1.5
31460,Jordanne,F,619,3,5,1.666666667
31461,Jowharah,F,5,3,5,1.666666667
31462,Juleah,F,243,2,3,1.5
31463,Junea,F,5,2,2,1
31464,Jurita,F,5,3,3,1
31465,Kaely,F,886,2,3,1.5
31466,Kailani,F,4564,3,3,1
31467,Kaimi,F,26,2,2,1
31468,Kaite,F,31,2,2,1
31469,Kalae,F,12,2,2,1
31470,Kalandria,F,12,3,5,1.666666667
31471,Kaleigh,F,15578,2,4,2
31472,Kaleisha,F,149,3,4,1.333333333
31473,Kalika,F,251,3,3,1
31474,Kalona,F,5,3,3,1
31475,Kamini,F,27,3,3,1
31476,Kandria,F,10,2,4,2
31477,Kanedra,F,16,3,4,1.333333333
31478,Kang,F,108,1,3,3
31479,Kao,F,244,1,1,1
31480,Kapiolani,F,17,4,4,1
31481,Karista,F,142,3,4,1.333333333
31482,Kasa,F,5,2,2,1
31483,Katarzyna,F,700,4,6,1.5
31484,Kathalina,F,172,4,5,1.25
31485,Katielynn,F,338,3,6,2
31486,Katilyn,F,1730,3,5,1.666666667
31487,Katiuska,F,32,3,4,1.333333333
31488,Katora,F,118,3,3,1
31489,Kausha,F,5,2,3,1.5
31490,Kaydra,F,132,2,4,2
31491,Kaysey,F,143,2,4,2
31492,Kaytie,F,600,2,3,1.5
31493,Keaira,F,1822,2,2,1
31494,Keandre,F,9,2,4,2
31495,Keauna,F,342,2,2,1
31496,Keili,F,400,2,2,1
31497,Keiondra,F,128,2,4,2
31498,Kelsee,F,1715,2,3,1.5
31499,Kendre,F,64,2,4,2
31500,Kenicia,F,45,3,3,1
31501,Kensey,F,885,2,4,2
31502,Keny,F,5,2,3,1.5
31503,Keshanna,F,78,3,5,1.666666667
31504,Keshawna,F,460,3,5,1.666666667
31505,Ketisha,F,10,3,4,1.333333333
31506,Keyosha,F,338,2,4,2
31507,Keyshonda,F,16,3,6,2
31508,Keywanda,F,15,3,5,1.666666667
31509,Khadeeja,F,248,3,4,1.333333333
31510,Kiante,F,182,2,3,1.5
31511,Kieisha,F,5,2,3,1.5
31512,Kieu,F,145,1,1,1
31513,Kimanh,F,56,2,4,2
31514,Kimia,F,475,2,2,1
31515,Kindrea,F,5,2,4,2
31516,Kinyada,F,10,3,4,1.333333333
31517,Kishanna,F,5,3,5,1.666666667
31518,Kishauna,F,17,3,4,1.333333333
31519,Koriann,F,37,2,4,2
31520,Kowanna,F,5,3,4,1.333333333
31521,Krishaun,F,6,2,5,2.5
31522,Krishauna,F,83,3,5,1.666666667
31523,Krishawn,F,12,2,6,3
31524,Krisna,F,94,2,4,2
31525,Kristilynn,F,10,3,8,2.666666667
31526,Krizia,F,410,2,3,1.5
31527,Krupa,F,403,2,3,1.5
31528,Kyara,F,3084,2,3,1.5
31529,Kylle,F,5,2,4,2
31530,Kyndell,F,511,2,6,3
31531,Kywanna,F,5,3,5,1.666666667
31532,Laia,F,462,1,1,1
31533,Lakayla,F,1303,3,4,1.333333333
31534,Lakeitra,F,7,3,4,1.333333333
31535,Lakelia,F,28,3,3,1
31536,Lakesh,F,7,2,4,2
31537,Lakieshia,F,5,3,4,1.333333333
31538,Lakosha,F,12,3,4,1.333333333
31539,Lakya,F,241,2,3,1.5
31540,Laleh,F,57,2,3,1.5
31541,Landan,F,5,2,4,2
31542,Lanequa,F,10,3,3,1
31543,Laquanya,F,15,3,4,1.333333333
31544,Laquia,F,62,2,2,1
31545,Laquila,F,31,3,3,1
31546,Laquise,F,5,3,3,1
31547,Laquista,F,16,3,4,1.333333333
31548,Laquonda,F,63,3,4,1.333333333
31549,Lareka,F,23,3,3,1
31550,Larika,F,37,3,3,1
31551,Lashelia,F,5,3,4,1.333333333
31552,Lashenda,F,6,3,5,1.666666667
31553,Lashia,F,153,2,3,1.5
31554,Lashounda,F,6,3,5,1.666666667
31555,Lastar,F,38,2,4,2
31556,Lateasa,F,13,3,3,1
31557,Lateena,F,13,3,3,1
31558,Lateia,F,106,2,2,1
31559,Latenya,F,5,3,4,1.333333333
31560,Latiah,F,15,2,3,1.5
31561,Latoyria,F,17,3,4,1.333333333
31562,Latraya,F,10,2,4,2
31563,Latrista,F,41,3,5,1.666666667
31564,Lauralei,F,93,3,3,1
31565,Lavasha,F,44,3,4,1.333333333
31566,Layce,F,189,2,3,1.5
31567,Laycie,F,304,2,3,1.5
31568,Lecresha,F,20,3,5,1.666666667
31569,Leianna,F,640,2,3,1.5
31570,Lekevia,F,6,3,3,1
31571,Lencola,F,10,3,4,1.333333333
31572,Leng,F,5,1,3,3
31573,Leonela,F,961,3,3,1
31574,Leshawnda,F,5,3,6,2
31575,Lesheka,F,5,3,4,1.333333333
31576,Leslieanne,F,93,3,5,1.666666667
31577,Liezl,F,33,1,3,3
31578,Lilianna,F,6600,3,4,1.333333333
31579,Lincy,F,170,2,4,2
31580,Linsi,F,77,2,3,1.5
31581,Linzee,F,290,2,3,1.5
31582,Liron,F,43,2,3,1.5
31583,Lisah,F,5,2,3,1.5
31584,Lizamarie,F,32,4,4,1
31585,Llia,F,6,1,2,2
31586,Lloana,F,5,2,3,1.5
31587,Lorrenda,F,5,3,5,1.666666667
31588,Lynisha,F,108,3,5,1.666666667
31589,Lynzi,F,553,2,4,2
31590,Lyrica,F,513,3,4,1.333333333
31591,Macaire,F,5,3,3,1
31592,Magenta,F,214,3,4,1.333333333
31593,Maisa,F,192,2,2,1
31594,Makaela,F,2622,3,3,1
31595,Malonda,F,5,3,4,1.333333333
31596,Manesha,F,28,3,4,1.333333333
31597,Mao,F,285,1,1,1
31598,Mariachristina,F,66,5,8,1.6
31599,Maricely,F,5,4,5,1.25
31600,Mariely,F,992,3,4,1.333333333
31601,Marlaena,F,10,3,4,1.333333333
31602,Marnisha,F,128,3,5,1.666666667
31603,Marquesha,F,471,3,5,1.666666667
31604,Marsinah,F,5,3,5,1.666666667
31605,Martini,F,26,3,4,1.333333333
31606,Marwah,F,272,2,4,2
31607,Marytza,F,93,3,5,1.666666667
31608,Marzena,F,18,3,4,1.333333333
31609,Maxx,F,66,1,3,3
31610,Maygen,F,398,2,4,2
31611,Meggie,F,514,2,3,1.5
31612,Mekeshia,F,5,3,4,1.333333333
31613,Melissasue,F,17,4,5,1.25
31614,Meridth,F,5,2,5,2.5
31615,Merika,F,40,3,3,1
31616,Merin,F,176,2,3,1.5
31617,Meshea,F,5,2,3,1.5
31618,Meshon,F,6,2,4,2
31619,Miaya,F,342,1,2,2
31620,Micayla,F,2549,3,4,1.333333333
31621,Michaelia,F,141,3,4,1.333333333
31622,Milanie,F,128,3,3,1
31623,Milisha,F,5,3,4,1.333333333
31624,Mistique,F,22,3,4,1.333333333
31625,Mohogany,F,64,4,5,1.25
31626,Moneik,F,11,2,3,1.5
31627,Monek,F,6,2,3,1.5
31628,Monserrat,F,6901,3,6,2
31629,Monyetta,F,7,3,5,1.666666667
31630,Murjani,F,24,3,4,1.333333333
31631,Musheerah,F,11,3,5,1.666666667
31632,Mycah,F,741,2,4,2
31633,Myya,F,99,1,3,3
31634,Naadira,F,24,3,3,1
31635,Nai,F,239,1,1,1
31636,Nakedra,F,33,3,4,1.333333333
31637,Nalin,F,28,2,3,1.5
31638,Nao,F,90,1,1,1
31639,Naoki,F,10,3,2,0.666666667
31640,Narine,F,48,3,3,1
31641,Nashana,F,21,3,4,1.333333333
31642,Nasheka,F,38,3,4,1.333333333
31643,Nasim,F,119,2,3,1.5
31644,Natesa,F,7,3,3,1
31645,Nathina,F,12,3,4,1.333333333
31646,Natlaie,F,13,2,3,1.5
31647,Neah,F,445,1,2,2
31648,Neecy,F,8,2,3,1.5
31649,Negin,F,87,2,3,1.5
31650,Nekiesha,F,6,3,4,1.333333333
31651,Nerisa,F,10,3,3,1
31652,Neshanta,F,9,3,5,1.666666667
31653,Nghi,F,22,1,3,3
31654,Nhu,F,366,1,2,2
31655,Nhung,F,215,1,4,4
31656,Nichcole,F,5,3,5,1.666666667
31657,Niclole,F,19,3,4,1.333333333
31658,Nicoel,F,5,2,3,1.5
31659,Nieka,F,26,2,2,1
31660,Nikitta,F,64,3,4,1.333333333
31661,Ninamarie,F,175,4,4,1
31662,Nitoya,F,5,2,3,1.5
31663,Nitzia,F,93,2,3,1.5
31664,Nohealani,F,193,4,4,1
31665,Normandy,F,48,3,6,2
31666,Nurah,F,88,2,3,1.5
31667,Nyah,F,4716,1,3,3
31668,Nykeba,F,26,3,4,1.333333333
31669,Ogechi,F,289,3,3,1
31670,Omesha,F,66,3,3,1
31671,Omri,F,15,2,2,1
31672,Orquidia,F,44,3,3,1
31673,Oshay,F,39,2,3,1.5
31674,Pegah,F,75,2,3,1.5
31675,Phoua,F,99,1,2,2
31676,Phung,F,163,1,4,4
31677,Porschia,F,242,2,5,2.5
31678,Presilla,F,5,3,5,1.666666667
31679,Pricila,F,1110,3,4,1.333333333
31680,Punam,F,55,2,3,1.5
31681,Quaneshia,F,185,3,4,1.333333333
31682,Quenette,F,5,3,4,1.333333333
31683,Quenisha,F,191,3,4,1.333333333
31684,Quintasha,F,53,3,5,1.666666667
31685,Quintisha,F,43,3,5,1.666666667
31686,Quynh,F,279,1,4,4
31687,Raashida,F,27,3,4,1.333333333
31688,Raenada,F,5,3,3,1
31689,Rahil,F,37,2,3,1.5
31690,Rainna,F,222,2,3,1.5
31691,Ralana,F,6,3,3,1
31692,Ranarda,F,13,3,4,1.333333333
31693,Randalynn,F,5,3,7,2.333333333
31694,Raneisha,F,345,3,4,1.333333333
31695,Ranoda,F,9,3,3,1
31696,Ranota,F,6,3,3,1
31697,Rashay,F,158,2,4,2
31698,Rasheeta,F,23,3,4,1.333333333
31699,Rashonna,F,43,3,5,1.666666667
31700,Raveen,F,407,2,3,1.5
31701,Raynika,F,11,3,4,1.333333333
31702,Reannen,F,15,2,4,2
31703,Reizel,F,104,2,3,1.5
31704,Reizy,F,69,2,3,1.5
31705,Rekesha,F,17,3,4,1.333333333
31706,Renarta,F,9,3,4,1.333333333
31707,Renauda,F,15,3,3,1
31708,Renauta,F,6,3,3,1
31709,Reneda,F,8,3,3,1
31710,Rennata,F,24,3,4,1.333333333
31711,Renoda,F,26,3,3,1
